entryMonth,releaseMonth,sponsorCategory,country,count
2015-01,2015-01,1,Ecuador,11
2015-01,2015-01,1,El Salvador,41
2015-01,2015-01,1,Guatemala,127
2015-01,2015-01,1,Honduras,39
2015-01,2015-01,1,Mexico,14
2015-01,2015-01,1,Nicaragua,2
2015-01,2015-01,2,Colombia,1
2015-01,2015-01,2,Ecuador,1
2015-01,2015-01,2,El Salvador,9
2015-01,2015-01,2,Guatemala,59
2015-01,2015-01,2,Honduras,6
2015-01,2015-01,2,Mexico,3
2015-01,2015-01,2,Other,1
2015-01,2015-01,3,Guatemala,3
2015-01,2015-01,4,El Salvador,4
2015-01,2015-01,4,Guatemala,11
2015-01,2015-01,4,Honduras,1
2015-01,2015-01,4,Mexico,1
2015-01,2015-02,1,Ecuador,4
2015-01,2015-02,1,El Salvador,103
2015-01,2015-02,1,Guatemala,145
2015-01,2015-02,1,Honduras,70
2015-01,2015-02,1,Mexico,13
2015-01,2015-02,1,Nicaragua,8
2015-01,2015-02,1,Other,4
2015-01,2015-02,2,Cuba,1
2015-01,2015-02,2,Ecuador,4
2015-01,2015-02,2,El Salvador,39
2015-01,2015-02,2,Guatemala,209
2015-01,2015-02,2,Honduras,22
2015-01,2015-02,2,India,2
2015-01,2015-02,2,Mexico,18
2015-01,2015-02,2,Nicaragua,1
2015-01,2015-02,2,Other,5
2015-01,2015-02,3,El Salvador,3
2015-01,2015-02,3,Guatemala,32
2015-01,2015-02,3,Honduras,3
2015-01,2015-02,3,Mexico,3
2015-01,2015-02,3,Other,1
2015-01,2015-02,4,Ecuador,1
2015-01,2015-02,4,El Salvador,8
2015-01,2015-02,4,Guatemala,49
2015-01,2015-02,4,Honduras,5
2015-01,2015-02,4,India,1
2015-01,2015-02,4,Mexico,4
2015-01,2015-02,4,Other,1
2015-01,2015-03,1,Ecuador,3
2015-01,2015-03,1,El Salvador,9
2015-01,2015-03,1,Guatemala,11
2015-01,2015-03,1,Honduras,7
2015-01,2015-03,1,Mexico,1
2015-01,2015-03,1,Other,1
2015-01,2015-03,2,Cuba,1
2015-01,2015-03,2,El Salvador,12
2015-01,2015-03,2,Guatemala,72
2015-01,2015-03,2,Honduras,4
2015-01,2015-03,2,Mexico,3
2015-01,2015-03,2,Other,3
2015-01,2015-03,3,El Salvador,1
2015-01,2015-03,3,Guatemala,28
2015-01,2015-03,3,Honduras,10
2015-01,2015-03,3,India,1
2015-01,2015-03,3,Mexico,3
2015-01,2015-03,3,Other,1
2015-01,2015-03,4,El Salvador,1
2015-01,2015-03,4,Guatemala,4
2015-01,2015-03,4,Honduras,1
2015-01,2015-03,4,Mexico,1
2015-01,2015-03,4,Other,1
2015-01,2015-04,1,El Salvador,4
2015-01,2015-04,1,Guatemala,9
2015-01,2015-04,1,Honduras,2
2015-01,2015-04,1,Mexico,2
2015-01,2015-04,1,Nicaragua,1
2015-01,2015-04,2,El Salvador,1
2015-01,2015-04,2,Guatemala,18
2015-01,2015-04,2,Honduras,1
2015-01,2015-04,2,Mexico,1
2015-01,2015-04,3,Guatemala,8
2015-01,2015-04,3,India,1
2015-01,2015-04,3,Mexico,1
2015-01,2015-04,4,Guatemala,1
2015-01,2015-05,1,Guatemala,4
2015-01,2015-05,1,Honduras,2
2015-01,2015-05,2,Guatemala,7
2015-01,2015-05,3,El Salvador,1
2015-01,2015-05,3,Guatemala,3
2015-01,2015-05,3,Honduras,1
2015-01,2015-05,3,India,1
2015-01,2015-05,4,Guatemala,1
2015-01,2015-05,4,Honduras,1
2015-01,2015-06,1,El Salvador,1
2015-01,2015-06,1,Guatemala,1
2015-01,2015-06,1,Honduras,3
2015-01,2015-06,2,Guatemala,1
2015-01,2015-06,2,Honduras,1
2015-01,2015-06,2,Mexico,1
2015-01,2015-06,3,Guatemala,4
2015-01,2015-06,3,Other,1
2015-01,2015-06,4,Guatemala,3
2015-01,2015-07,1,Guatemala,1
2015-01,2015-07,1,Mexico,1
2015-01,2015-07,2,Guatemala,2
2015-01,2015-07,3,Guatemala,1
2015-01,2015-08,3,Guatemala,1
2015-01,2015-08,3,Other,1
2015-01,2015-09,1,Mexico,1
2015-01,2015-10,3,Guatemala,1
2015-01,2015-11,1,El Salvador,1
2015-01,2015-12,1,Honduras,1
2015-01,2016-01,1,Ecuador,1
2015-01,2016-01,1,El Salvador,7
2015-01,2016-01,1,Guatemala,6
2015-01,2016-01,1,Honduras,3
2015-01,2016-01,1,Mexico,2
2015-01,2016-01,2,Guatemala,3
2015-01,2016-01,2,Mexico,2
2015-01,2016-02,1,El Salvador,3
2015-01,2016-02,1,Guatemala,1
2015-01,2016-02,1,Honduras,1
2015-01,2016-02,2,El Salvador,2
2015-01,2016-02,2,Guatemala,8
2015-01,2016-02,3,Guatemala,1
2015-01,2016-03,1,Guatemala,1
2015-01,2016-03,2,El Salvador,1
2015-01,2016-03,2,Guatemala,4
2015-01,2016-03,2,Other,1
2015-01,2016-03,3,Guatemala,2
2015-01,2016-03,3,Mexico,1
2015-01,2016-04,2,Guatemala,1
2015-01,2016-05,3,El Salvador,1
2015-01,2016-07,3,Guatemala,2
2015-01,2016-08,2,Mexico,1
2015-01,2016-12,2,Mexico,1
2015-01,2017-02,2,Honduras,1
2015-02,2015-02,1,Ecuador,8
2015-02,2015-02,1,El Salvador,86
2015-02,2015-02,1,Guatemala,125
2015-02,2015-02,1,Honduras,52
2015-02,2015-02,1,Mexico,8
2015-02,2015-02,1,Nicaragua,1
2015-02,2015-02,1,Other,2
2015-02,2015-02,2,Ecuador,3
2015-02,2015-02,2,El Salvador,13
2015-02,2015-02,2,Guatemala,59
2015-02,2015-02,2,Honduras,8
2015-02,2015-02,2,Mexico,7
2015-02,2015-02,2,Other,1
2015-02,2015-02,3,El Salvador,2
2015-02,2015-02,3,Guatemala,12
2015-02,2015-02,3,Honduras,1
2015-02,2015-02,4,Cuba,1
2015-02,2015-02,4,Guatemala,1
2015-02,2015-03,1,Ecuador,9
2015-02,2015-03,1,El Salvador,177
2015-02,2015-03,1,Guatemala,159
2015-02,2015-03,1,Honduras,92
2015-02,2015-03,1,Mexico,20
