id,entryDate,releaseDate,sponsorCategory,country,gender
42173,2015-01-01,2017-02-25,2,Honduras,M
897,2015-01-22,2016-12-23,2,Mexico,M
3320,2015-03-05,2017-10-16,3,Honduras,M
4814,2015-03-26,2017-03-29,3,Honduras,M
5397,2015-04-02,2018-04-24,3,Honduras,M
7460,2015-04-27,2017-10-25,1,Guatemala,F
8453,2015-05-07,2017-03-11,1,Mexico,F
8691,2015-05-10,2017-04-01,1,El Salvador,M
11940,2015-06-10,2017-02-23,1,Mexico,M
15825,2015-07-16,2016-11-18,2,Honduras,M
16890,2015-07-25,2017-12-20,1,Mexico,F
17158,2015-07-27,2017-04-13,3,Honduras,M
18388,2015-08-06,2017-04-06,1,El Salvador,M
19716,2015-08-17,2016-12-09,2,Mexico,M
19824,2015-08-17,2016-12-16,1,Guatemala,M
22062,2015-09-02,2017-05-25,2,Guatemala,M
22757,2015-09-07,2016-12-03,3,Guatemala,M
25381,2015-09-27,2016-10-05,2,Guatemala,F
29164,2015-10-24,2016-10-04,3,Honduras,M
29562,2015-10-27,2017-04-27,2,Guatemala,F
29810,2015-10-29,2017-04-01,1,Guatemala,M
29893,2015-10-30,2016-11-30,3,Guatemala,M
30778,2015-11-04,2017-01-25,1,Guatemala,M
30645,2015-11-05,2016-10-31,1,Honduras,M
30977,2015-11-05,2018-08-11,3,Mexico,M
31253,2015-11-07,2016-11-18,1,Guatemala,M
31285,2015-11-07,2017-02-10,1,El Salvador,F
31715,2015-11-10,2017-02-22,3,Guatemala,M
32214,2015-11-14,2016-11-01,3,Guatemala,F
32505,2015-11-15,2017-04-09,3,Guatemala,F
32655,2015-11-16,2016-11-24,3,Guatemala,M
33044,2015-11-18,2016-12-02,3,El Salvador,F
35533,2015-12-01,2017-04-09,2,Guatemala,M
36123,2015-12-04,2016-10-07,2,Guatemala,M
36323,2015-12-05,2016-11-30,3,El Salvador,F
36996,2015-12-08,2017-01-10,1,Honduras,M
36997,2015-12-08,2017-01-10,1,Honduras,M
37625,2015-12-10,2016-11-11,3,Honduras,F
38297,2015-12-13,2017-03-25,3,Guatemala,M
39266,2015-12-16,2016-10-22,3,Mexico,F
39267,2015-12-16,2016-10-22,3,Mexico,F
39808,2015-12-19,2016-11-04,2,Guatemala,M
39978,2015-12-20,2016-11-17,2,Guatemala,M
39981,2015-12-20,2017-04-26,3,Guatemala,F
40198,2015-12-21,2016-12-23,2,Honduras,F
40047,2015-12-21,2017-02-09,2,Guatemala,F
40455,2015-12-22,2016-11-11,2,El Salvador,M
40853,2015-12-24,2016-10-01,2,Honduras,M
40821,2015-12-24,2016-11-23,2,El Salvador,M
41261,2015-12-26,2016-10-28,1,Guatemala,M
41320,2015-12-27,2016-10-20,2,Guatemala,F
41681,2015-12-29,2016-11-11,3,Guatemala,F
41811,2015-12-30,2017-01-20,3,Guatemala,M
42052,2015-12-31,2016-11-13,3,Guatemala,M
42155,2016-01-01,2016-10-05,1,Guatemala,F
42156,2016-01-01,2016-10-05,1,Guatemala,F
42380,2016-01-04,2017-02-03,2,Guatemala,F
42490,2016-01-05,2017-02-15,3,Guatemala,M
42515,2016-01-06,2017-01-18,3,Guatemala,M
42924,2016-01-12,2016-11-18,3,El Salvador,F
43045,2016-01-14,2016-12-14,3,El Salvador,M
43204,2016-01-16,2017-03-09,3,Honduras,F
43275,2016-01-17,2017-01-26,2,Honduras,M
44162,2016-01-26,2017-09-14,2,Other,M
44283,2016-01-28,2016-12-05,1,El Salvador,F
44998,2016-02-04,2016-11-11,2,Guatemala,M
44978,2016-02-04,2017-05-20,3,Other,M
45071,2016-02-05,2017-02-15,3,India,M
45518,2016-02-11,2016-10-11,3,Honduras,M
45529,2016-02-11,2018-06-22,2,Guatemala,M
46402,2016-02-22,2018-04-10,1,Honduras,M
46665,2016-02-24,2016-10-16,2,El Salvador,M
46760,2016-02-25,2016-10-16,2,Guatemala,F
46761,2016-02-25,2016-10-28,3,Guatemala,M
46882,2016-02-26,2017-04-19,2,Honduras,M
47233,2016-03-01,2017-02-09,1,Mexico,F
50526,2016-03-03,2016-11-03,3,Honduras,F
47435,2016-03-03,2016-11-23,1,Honduras,F
47437,2016-03-03,2016-12-08,1,Honduras,F
47533,2016-03-04,2017-02-11,2,Mexico,M
47732,2016-03-06,2017-03-07,2,Honduras,F
47927,2016-03-08,2017-01-01,2,Guatemala,M
47955,2016-03-09,2016-10-05,3,Nicaragua,F
47965,2016-03-09,2016-10-15,3,Honduras,F
47946,2016-03-09,2016-11-28,3,Guatemala,M
48162,2016-03-10,2016-10-06,3,Honduras,F
48355,2016-03-12,2017-01-17,3,Guatemala,M
48376,2016-03-13,2016-10-26,3,Guatemala,M
48519,2016-03-14,2016-11-25,1,El Salvador,F
48646,2016-03-15,2017-09-25,1,El Salvador,F
