month,entries,releases,activePopulation,medianDaysToRelease,sponsor_1,sponsor_2,sponsor_3,sponsor_4,country_guatemala,country_honduras,country_el_salvador,country_mexico,country_ecuador,country_nicaragua,country_india,country_venezuela,country_cuba,country_colombia,country_afghanistan,country_other
2015-01,1427,334,1093,13.0,234,80,3,17,845,185,252,78,25,12,6,0,2,1,0,21
2015-02,1704,1149,1648,18.0,629,392,57,71,886,244,425,80,28,5,5,0,5,0,0,26
2015-03,2236,1783,2101,20.0,918,699,158,8,1095,376,601,109,15,7,9,0,3,1,0,20
2015-04,2541,2025,2617,20.0,1156,737,108,24,1227,443,754,70,8,6,6,0,2,2,0,23
2015-05,3127,2574,3170,22.0,1409,887,144,134,1476,559,952,88,13,4,14,0,1,0,0,20
2015-06,3249,2660,3759,23.0,1503,868,116,173,1402,631,1066,78,18,9,13,0,5,0,0,27
2015-07,3540,3005,4294,25.0,1723,1028,218,36,1508,674,1187,104,4,7,26,0,3,0,0,27
2015-08,4091,3272,5113,27.0,1826,1196,243,7,1646,889,1347,128,10,10,22,1,1,0,0,37
2015-09,3968,4005,5076,27.0,2344,1345,315,1,1506,748,1502,118,15,6,23,0,3,0,0,47
2015-10,4372,4295,5153,25.0,2530,1449,316,0,1656,855,1704,82,20,16,13,0,2,0,0,24
2015-11,5323,4038,6438,25.0,2340,1330,368,0,2454,948,1694,132,11,14,24,0,6,0,0,40
2015-12,6568,6404,6602,22.0,3975,1964,464,1,3110,1176,1964,183,14,23,19,0,3,0,0,76
2016-01,2534,4910,4226,27.0,2582,1859,468,1,1165,379,813,80,19,9,18,1,3,2,0,45
2016-02,2490,3338,3378,30.0,1394,1538,405,1,905,479,937,101,8,4,16,0,6,2,0,32
2016-03,3502,3191,3689,21.0,1569,1238,384,0,1225,710,1378,101,15,10,19,0,5,2,0,37
2016-04,4470,3286,4873,22.0,1836,1152,298,0,1500,913,1836,116,21,6,35,0,3,0,1,39
2016-05,5233,4129,5977,24.0,2395,1417,317,0,1844,1103,2042,109,23,21,24,0,5,1,0,61
2016-06,4473,4250,6200,28.0,2349,1561,340,0,1678,1007,1593,105,25,17,7,0,5,0,0,36
2016-07,5027,4440,6787,31.0,2390,1663,387,0,1793,1230,1795,120,10,22,8,2,4,3,0,40
2016-08,5810,4960,7637,30.0,2669,1841,450,0,2291,1318,1959,152,6,16,7,1,8,1,0,51
2016-09,5847,5086,8398,30.0,2773,1905,406,2,2232,1354,1956,170,7,26,32,1,9,1,0,59
2016-10,7043,6039,9402,30.0,3458,2157,420,4,2892,1592,2330,105,16,54,15,0,3,0,0,36
2016-11,7450,6636,10216,30.0,3644,2408,581,3,3196,1686,2361,106,9,28,7,0,4,2,0,51
2016-12,7406,7743,9879,29.0,4545,2632,551,15,2962,1795,2400,107,19,29,13,4,3,0,0,74
2017-01,4049,6571,7357,38.0,3049,2934,579,9,1660,910,1272,76,13,28,18,1,1,0,0,70
2017-02,1503,4515,4345,38.0,2051,1987,467,10,507,347,505,34,9,10,26,0,0,0,0,65
2017-03,618,2927,2036,50.0,874,1568,479,6,202,159,195,26,1,2,4,0,1,1,0,27
2017-04,554,1090,1500,63.0,368,472,248,2,230,123,155,24,2,4,1,1,0,2,0,12
2017-05,964,977,1487,43.0,429,375,168,5,454,197,245,28,0,4,4,0,1,0,0,31
2017-06,1350,1215,1622,26.0,583,506,124,2,708,292,262,39,2,5,6,1,0,0,0,35
2017-07,1992,1314,2300,24.0,567,597,148,2,1106,395,342,65,4,12,21,0,0,0,0,47
2017-08,2419,1600,3119,25.0,703,757,137,3,1406,449,374,84,2,7,29,0,2,1,0,65
2017-09,2490,1963,3646,31.0,816,928,214,5,1390,508,358,83,2,9,85,3,1,0,0,51
2017-10,2645,2230,4061,34.0,920,1076,232,2,1523,548,382,63,0,15,54,1,0,1,0,58
2017-11,3508,2241,5328,34.0,978,1017,242,4,2138,665,447,99,8,8,101,1,0,0,0,41
2017-12,4038,3187,6179,34.0,1483,1379,322,3,2708,687,409,103,6,11,79,0,1,1,0,33
2018-01,2793,2707,6265,41.0,1173,1269,260,5,1794,581,244,93,3,8,32,1,1,0,0,36
2018-02,2675,2920,6020,47.0,1129,1458,326,7,1658,590,256,106,2,8,21,0,1,0,0,33
2018-03,3797,3075,6742,44.0,1135,1580,352,8,2087,1064,404,141,9,12,32,0,1,1,0,46
2018-04,3975,3479,7238,40.0,1530,1607,339,3,2101,1119,484,133,11,5,37,1,1,1,0,82
2018-05,4742,3920,8060,39.0,1647,1909,360,4,2417,1456,602,100,15,23,51,2,0,0,0,76
2018-06,4120,3862,8318,42.0,1627,1827,398,10,2048,1240,572,78,5,33,62,0,3,0,0,79
2018-07,3417,2545,9190,59.0,1070,1194,269,12,1657,922,513,105,5,64,99,2,3,0,0,47
2018-08,3351,2187,10354,68.0,856,1088,239,4,1491,1017,586,111,2,65,35,0,2,0,0,42
2018-09,3635,2719,11270,78.0,1259,1213,243,4,1651,1063,609,111,10,78,48,1,0,5,0,59
2018-10,3954,3474,11750,79.0,1473,1705,290,6,1951,1139,619,88,5,66,25,1,3,2,0,55
2018-11,4162,3410,12502,76.0,1550,1560,291,9,2254,1115,589,83,10,42,24,2,0,0,0,43
2018-12,4664,6030,11136,71.0,2948,2608,466,8,2680,1229,517,76,33,29,45,4,1,0,0,50
2019-01,4192,5601,9727,57.0,2268,2933,392,8,2311,1159,521,67,24,39,21,1,3,0,0,46
2019-02,5576,5294,10009,50.0,2260,2574,452,8,2806,1714,796,77,50,51,40,2,0,1,0,39
2019-03,7546,6909,10646,35.0,3137,3186,579,7,3653,2275,1276,91,94,85,18,6,3,2,0,43
2019-04,8133,7769,11010,30.0,3782,3455,530,2,3554,2465,1706,91,148,81,12,3,10,0,0,63
2019-05,8617,8123,11504,29.0,3815,3763,545,0,3789,2628,1731,90,150,107,49,8,9,2,0,54
2019-06,8357,8749,11112,30.0,3763,4291,695,0,3334,2518,1935,121,172,88,108,8,12,0,0,61
2019-07,4943,8486,7569,31.0,3505,4154,827,0,1532,1759,1200,117,126,62,57,8,7,2,0,73
2019-08,2943,5664,4848,32.0,2309,2553,802,0,894,1015,628,125,124,33,50,7,7,1,0,59
2019-09,2299,3541,3606,35.0,1389,1560,592,0,713,675,415,127,183,25,59,15,14,0,0,73
2019-10,2102,2802,2906,30.0,1070,1212,520,0,847,586,385,117,73,20,37,5,2,0,0,30
2019-11,2422,2342,2986,26.0,914,1046,382,0,1231,595,307,103,96,15,17,6,2,1,0,49
2019-12,2437,2483,2940,24.0,1101,1078,304,0,1265,514,316,132,93,18,31,2,1,1,0,64
2020-01,1787,2115,2612,31.0,786,1024,305,0,935,356,251,104,69,6,18,4,1,7,0,36
2020-02,2148,2133,2627,24.0,784,1058,291,0,1081,472,302,132,69,17,40,3,0,0,0,32
2020-03,1733,2148,2212,25.0,814,1065,269,0,837,449,249,65,79,12,29,1,1,0,0,11
2020-04,58,1304,966,39.0,457,657,190,0,16,4,6,3,9,0,10,0,0,0,0,10
